BT16ECE001,ECL301,DD,ECL307,DD,ECL308,CD,ECL309,DD*,HUL401,W
BT16ECE002,ECL301,BB,ECL307,AB,ECL308,AB,ECL309,BC,HUL401,AB
BT16ECE003,ECL301,CC,ECL307,BC,ECL308,BC,ECL309,BC,HUL401,AB
BT16ECE004,ECL301,AB,ECL307,BB,ECL308,BC,ECL309,CD,HUL401,AB
BT16ECE005,ECL301,BC,ECL307,CD,ECL308,CD,ECL309,CD,HUL401,CC
BT16ECE006,ECL301,AB,ECL307,AA,ECL308,AA,ECL309,AB,HUL401,AA
BT16ECE007,ECL301,BB,ECL307,AA,ECL308,BC,ECL309,BC,HUL401,AA
BT16ECE008,ECL301,BC,ECL307,AB,ECL308,BB,ECL309,AB,HUL401,BC
BT16ECE009,ECL301,AB,ECL307,AB,ECL308,AB,ECL309,BC,HUL401,AB
BT16ECE012,ECL301,BB,ECL307,AB,ECL308,BB,ECL309,CD,HUL401,BC
BT16ECE013,ECL301,BC,ECL307,BB,ECL308,BB,ECL309,BC,HUL401,BB
BT16ECE014,ECL301,BB,ECL307,AA,ECL308,BC,ECL309,BB,HUL401,AA
BT16ECE015,ECL301,BC,ECL307,CC,ECL308,BC,ECL309,CC,HUL401,BB
BT16ECE016,ECL301,AB,ECL307,CC,ECL308,BC,ECL309,CD,HUL401,AB
BT16ECE017,ECL301,BC,ECL307,AA,ECL308,AB,ECL309,BB,HUL401,AB
BT16ECE019,ECL301,CD,ECL307,CD,ECL308,DD,ECL309,DD,HUL401,DD
BT16ECE020,ECL301,AA,ECL307,AA,ECL308,BB,ECL309,AA,HUL401,AA
BT16ECE021,ECL301,BB,ECL307,CD,ECL308,BC,ECL309,CD,HUL401,AB
BT16ECE022,ECL301,BB,ECL307,CC,ECL308,CC,ECL309,CD,HUL401,BB
BT16ECE023,ECL301,AB,ECL307,AB,ECL308,BC,ECL309,BC,HUL401,BB
BT16ECE024,ECL301,CC,ECL307,CD,ECL308,CC,ECL309,DD,HUL401,BC
